Module;Titre;URL
MODULE 4;CONTROLE D'ACCÈS BASÉ SUR LES RÔLES (RBAC);https://www.youtube.com/watch?v=HkgpleaPreI
MODULE 4;CONTROLE D'ACCÈS PAR ATTRIBUTS (ABAC);https://www.youtube.com/watch?v=vPTMGxDcfkw
MODULE 4;DONNÉES PERSONNELLES;https://www.youtube.com/watch?v=PIoPoXs9Yho
MODULE 5;INTRODUCTION;https://www.youtube.com/watch?v=hV2yRul3aZQ
MODULE 5;CHIFFREMENT SYMÉTRIQUE;https://www.youtube.com/watch?v=sh5SgVWh7Xs
MODULE 5;CHIFFREMENT SYMÉTRIQUE;https://www.youtube.com/watch?v=leIGm7J3Gk0
MODULE 5;CHIFFREMENT SYMÉTRIQUE;https://www.youtube.com/watch?v=m4_tLjdYXPc
MODULE 5;CHIFFREMENT SYMÉTRIQUE;https://www.youtube.com/watch?v=dnNiiaBmbV8
MODULE 5;CHIFFREMENT SYMÉTRIQUE;https://www.youtube.com/watch?v=Ha83cCf7-nk
MODULE 5;CHIFFREMENT SYMÉTRIQUE;https://www.youtube.com/watch?v=VQMIjgpl71U
MODULE 5;INTÉGRITÉ DES MESSAGES;https://www.youtube.com/watch?v=EtF98zYMr84
MODULE 5;INTÉGRITÉ DES MESSAGES;https://www.youtube.com/watch?v=SAz_lS6IpC0
MODULE 6;INTRODUCTION;https://www.youtube.com/watch?v=bXv35hk23l4
MODULE 6;ÉCHANGE DE CLÉ DIFFIE HELLMAN;https://www.youtube.com/watch?v=BeDI253495E
MODULE 6;CHIFFREMENT ASYMÉTRIQUE;https://www.youtube.com/watch?v=WBySAi_ZKw0
MODULE 6;SIGNATURES NUMÉRIQUES;https://www.youtube.com/watch?v=71s_e0JlMi0
MODULE 6;CERTIFICAT DE CLÉ PUBLIQUE (PKI);https://www.youtube.com/watch?v=LbTJQi0OP2Y
MODULE 6;ÉCHANGE DE CLÉS AUTHENTIFIÉ (TLS);https://www.youtube.com/watch?v=18Nr6UihSUU
MODULE 7;INTRODUCTION;https://www.youtube.com/watch?v=3S6t5eiTHvQ
MODULE 7;AUTHENTIFICATION PAR MOT DE PASSE;https://www.youtube.com/watch?v=o2eXk5fFw34
MODULE 7;AUTHENTIFICATION À DEUX FACTEURS (2FA);https://www.youtube.com/watch?v=ioj8uSwJqa4
MODULE 7;AUTHENTIFICATION UNIQUE (SSO);https://www.youtube.com/watch?v=o_oAze2TU0k
MODULE 7;PARE-FEU & PROXY;https://www.youtube.com/watch?v=8GINdwx86Xs
MODULE 7;TRADUCTION D'ADRESSES RÉSEAU (NAT);https://www.youtube.com/watch?v=_nsLaYf5e08
MODULE 7;ZONE DÉMILITARISÉE (DMZ) & RÉSEAU PRIVÉ VIRTUEL (VPN);https://www.youtube.com/watch?v=2-ecp0kMNJ0
